Vteam,Hteam
Washington Wizards,Memphis Grizzlies
Miami Heat,Dallas Mavericks
Cleveland Cavaliers,Milwaukee Bucks
Oklahoma City Thunder,Denver Nuggets
Detroit Pistons,Houston Rockets
Orlando Magic,New Orleans Pelicans
Charlotte Hornets,Indiana Pacers
Los Angeles Lakers,Atlanta Hawks
Philadelphia 76ers,Brooklyn Nets
New York Knicks,Denver Nuggets
Sacramento Kings,Golden State Warriors
Washington Wizards,Detroit Pistons
Cleveland Cavaliers,Toronto Raptors
San Antonio Spurs,Houston Rockets
Miami Heat,Memphis Grizzlies
Dallas Mavericks,Milwaukee Bucks
Chicago Bulls,Oklahoma City Thunder
Portland Trail Blazers,Phoenix Suns
Sacramento Kings,Charlotte Hornets
Los Angeles Lakers,Indiana Pacers
Atlanta Hawks,New York Knicks
Brooklyn Nets,New Orleans Pelicans
Orlando Magic,Utah Jazz
Phoenix Suns,Los Angeles Clippers
Charlotte Hornets,Cleveland Cavaliers
Toronto Raptors,Detroit Pistons
Miami Heat,Philadelphia 76ers
Chicago Bulls,Washington Wizards
New Orleans Pelicans,Minnesota Timberwolves
Memphis Grizzlies,Oklahoma City Thunder
Orlando Magic,Denver Nuggets
Boston Celtics,Dallas Mavericks
Golden State Warriors,Portland Trail Blazers
Utah Jazz,Atlanta Hawks
Los Angeles Lakers,Milwaukee Bucks
Brooklyn Nets,San Antonio Spurs
Houston Rockets,Los Angeles Clippers
Memphis Grizzlies,Cleveland Cavaliers
Sacramento Kings,Indiana Pacers
Detroit Pistons,Boston Celtics
Washington Wizards,Toronto Raptors
New York Knicks,Miami Heat
Phoenix Suns,Oklahoma City Thunder
Dallas Mavericks,Philadelphia 76ers
Minnesota Timberwolves,Denver Nuggets
Orlando Magic,Portland Trail Blazers
New Orleans Pelicans,Golden State Warriors
Utah Jazz,Charlotte Hornets
Atlanta Hawks,Brooklyn Nets
Chicago Bulls,Detroit Pistons
Washington Wizards,Philadelphia 76ers
Milwaukee Bucks,New York Knicks
Sacramento Kings,Memphis Grizzlies
Los Angeles Clippers,San Antonio Spurs
Houston Rockets,Phoenix Suns
Minnesota Timberwolves,Portland Trail Blazers
Dallas Mavericks,Toronto Raptors
Charlotte Hornets,Boston Celtics
Indiana Pacers,Milwaukee Bucks
Los Angeles Clippers,Oklahoma City Thunder
Denver Nuggets,Los Angeles Lakers
Atlanta Hawks,Cleveland Cavaliers
Philadelphia 76ers,Detroit Pistons
Toronto Raptors,Indiana Pacers
Washington Wizards,New York Knicks
Chicago Bulls,Orlando Magic
Utah Jazz,Miami Heat
San Antonio Spurs,Memphis Grizzlies
Denver Nuggets,Phoenix Suns
New Orleans Pelicans,Portland Trail Blazers
Houston Rockets,Sacramento Kings
Minnesota Timberwolves,Golden State Warriors
Boston Celtics,Toronto Raptors
Milwaukee Bucks,Philadelphia 76ers
Houston Rockets,Golden State Warriors
Los Angeles Clippers,Los Angeles Lakers
New Orleans Pelicans,Denver Nuggets
Washington Wizards,Detroit Pistons
New York Knicks,Brooklyn Nets
San Antonio Spurs,Dallas Mavericks
Memphis Grizzlies,Oklahoma City Thunder
Minnesota Timberwolves,Sacramento Kings
Portland Trail Blazers,Utah Jazz
Cleveland Cavaliers,Boston Celtics
Oklahoma City Thunder,Charlotte Hornets
Philadelphia 76ers,Orlando Magic
Milwaukee Bucks,Atlanta Hawks
Indiana Pacers,Miami Heat
Phoenix Suns,Golden State Warriors
Memphis Grizzlies,Denver Nuggets
Toronto Raptors,Boston Celtics
Indiana Pacers,New Orleans Pelicans
Atlanta Hawks,Chicago Bulls
Brooklyn Nets,Houston Rockets
Philadelphia 76ers,Miami Heat
Cleveland Cavaliers,Minnesota Timberwolves
New York Knicks,Washington Wizards
Dallas Mavericks,Golden State Warriors
Orlando Magic,Milwaukee Bucks
Detroit Pistons,San Antonio Spurs
Phoenix Suns,Sacramento Kings
Los Angeles Lakers,Portland Trail Blazers
Utah Jazz,Los Angeles Clippers
Oklahoma City Thunder,Toronto Raptors
Sacramento Kings,Denver Nuggets
Charlotte Hornets,Memphis Grizzlies
Houston Rockets,New Orleans Pelicans
Dallas Mavericks,Los Angeles Lakers
Atlanta Hawks,Orlando Magic
Miami Heat,Washington Wizards
Milwaukee Bucks,Chicago Bulls
Brooklyn Nets,Minnesota Timberwolves
Detroit Pistons,Utah Jazz
Phoenix Suns,Portland Trail Blazers
Boston Celtics,Charlotte Hornets
Philadelphia 76ers,Indiana Pacers
Los Angeles Clippers,Sacramento Kings
Denver Nuggets,Houston Rockets
Golden State Warriors,San Antonio Spurs
Cleveland Cavaliers,Toronto Raptors
Dallas Mavericks,Oklahoma City Thunder
Orlando Magic,Washington Wizards
Portland Trail Blazers,New York Knicks
Minnesota Timberwolves,Milwaukee Bucks
Phoenix Suns,Los Angeles Lakers
Charlotte Hornets,Cleveland Cavaliers
Denver Nuggets,Indiana Pacers
Toronto Raptors,Miami Heat
Utah Jazz,Chicago Bulls
Golden State Warriors,Minnesota Timberwolves
Brooklyn Nets,Dallas Mavericks
Oklahoma City Thunder,San Antonio Spurs
Memphis Grizzlies,Sacramento Kings
Detroit Pistons,Los Angeles Clippers
Atlanta Hawks,Boston Celtics
Miami Heat,Orlando Magic
Portland Trail Blazers,Washington Wizards
Philadelphia 76ers,Houston Rockets
New York Knicks,Phoenix Suns
New Orleans Pelicans,Los Angeles Lakers
Memphis Grizzlies,Los Angeles Clippers
Toronto Raptors,Brooklyn Nets
Utah Jazz,Orlando Magic
Indiana Pacers,Atlanta Hawks
Oklahoma City Thunder,Cleveland Cavaliers
Boston Celtics,Chicago Bulls
Denver Nuggets,Washington Wizards
Charlotte Hornets,Dallas Mavericks
Detroit Pistons,Golden State Warriors
San Antonio Spurs,Milwaukee Bucks
New Orleans Pelicans,Sacramento Kings
New York Knicks,Los Angeles Clippers
Portland Trail Blazers,Miami Heat
Minnesota Timberwolves,Cleveland Cavaliers
Memphis Grizzlies,Phoenix Suns
Detroit Pistons,Los Angeles Lakers
Indiana Pacers,Charlotte Hornets
Brooklyn Nets,Orlando Magic
Oklahoma City Thunder,Philadelphia 76ers
Boston Celtics,Washington Wizards
Denver Nuggets,Atlanta Hawks
Utah Jazz,New Orleans Pelicans
Chicago Bulls,Dallas Mavericks
Milwaukee Bucks,San Antonio Spurs
Golden State Warriors,Sacramento Kings
