WTeam,LTeam,WLoc
Golden State Warriors,Cleveland Cavaliers,V
Denver Nuggets,Orlando Magic,V
Washington Wizards,Atlanta Hawks,V
Oklahoma City Thunder,Brooklyn Nets,V
Memphis Grizzlies,Los Angeles Clippers,H
Milwaukee Bucks,Detroit Pistons,H
Minnesota Timberwolves,Charlotte Hornets,H
New Orleans Pelicans,Dallas Mavericks,H
Toronto Raptors,Philadelphia 76ers,H
Los Angeles Lakers,San Antonio Spurs,H
Boston Celtics,New York Knicks,H
Portland Trail Blazers,Phoenix Suns,H
Utah Jazz,Houston Rockets,H
Charlotte Hornets,Denver Nuggets,H
Philadelphia 76ers,Detroit Pistons,V
Indiana Pacers,Orlando Magic,V
Brooklyn Nets,Toronto Raptors,H
Sacramento Kings,Cleveland Cavaliers,V
Chicago Bulls,Oklahoma City Thunder,H
Memphis Grizzlies,New Orleans Pelicans,V
San Antonio Spurs,Los Angeles Lakers,H
Miami Heat,Phoenix Suns,V
Golden State Warriors,Milwaukee Bucks,V
Dallas Mavericks,Houston Rockets,H
Indiana Pacers,Sacramento Kings,H
Atlanta Hawks,Denver Nuggets,H
Cleveland Cavaliers,Washington Wizards,H
Brooklyn Nets,New York Knicks,V
Boston Celtics,Chicago Bulls,V
Los Angeles Lakers,Memphis Grizzlies,V
Portland Trail Blazers,Minnesota Timberwolves,H
Miami Heat,Los Angeles Clippers,V
New Orleans Pelicans,Detroit Pistons,V
Milwaukee Bucks,Toronto Raptors,V
San Antonio Spurs,Utah Jazz,H
Charlotte Hornets,New York Knicks,V
Indiana Pacers,Washington Wizards,H
Philadelphia 76ers,Detroit Pistons,H
Boston Celtics,New Orleans Pelicans,H
Sacramento Kings,Chicago Bulls,V
Milwaukee Bucks,Cleveland Cavaliers,H
Oklahoma City Thunder,Utah Jazz,H
Dallas Mavericks,Orlando Magic,H
Denver Nuggets,Memphis Grizzlies,H
Los Angeles Clippers,Phoenix Suns,V
Golden State Warriors,Minnesota Timberwolves,H
Los Angeles Lakers,Miami Heat,H
Houston Rockets,Portland Trail Blazers,H
San Antonio Spurs,Phoenix Suns,H
Toronto Raptors,Los Angeles Clippers,V
Charlotte Hornets,Detroit Pistons,H
Cleveland Cavaliers,New York Knicks,H
Indiana Pacers,Milwaukee Bucks,H
Brooklyn Nets,Philadelphia 76ers,V
Boston Celtics,Washington Wizards,V
Memphis Grizzlies,Portland Trail Blazers,H
New Orleans Pelicans,Oklahoma City Thunder,H
Dallas Mavericks,Atlanta Hawks,H
Utah Jazz,Miami Heat,H
Sacramento Kings,Minnesota Timberwolves,H
Toronto Raptors,Golden State Warriors,V
Houston Rockets,Los Angeles Lakers,H
San Antonio Spurs,Los Angeles Clippers,H
Orlando Magic,Chicago Bulls,H
Phoenix Suns,Dallas Mavericks,H
Boston Celtics,Atlanta Hawks,H
New York Knicks,Charlotte Hornets,V
Brooklyn Nets,Washington Wizards,H
Milwaukee Bucks,Cleveland Cavaliers,V
Indiana Pacers,Philadelphia 76ers,V
Miami Heat,Memphis Grizzlies,V
Denver Nuggets,Oklahoma City Thunder,H
Portland Trail Blazers,Toronto Raptors,H
Golden State Warriors,Sacramento Kings,V
Orlando Magic,Utah Jazz,H
Los Angeles Lakers,Charlotte Hornets,V
Detroit Pistons,Boston Celtics,H
Houston Rockets,Memphis Grizzlies,V
Chicago Bulls,San Antonio Spurs,V
Oklahoma City Thunder,Los Angeles Clippers,H
Phoenix Suns,Minnesota Timberwolves,H
Brooklyn Nets,Atlanta Hawks,H
Philadelphia 76ers,Cleveland Cavaliers,V
Indiana Pacers,New York Knicks,H
Washington Wizards,Los Angeles Lakers,H
Sacramento Kings,Dallas Mavericks,V
Miami Heat,New Orleans Pelicans,V
Denver Nuggets,Toronto Raptors,H
Milwaukee Bucks,Detroit Pistons,V
Phoenix Suns,New York Knicks,V
Houston Rockets,Utah Jazz,H
Minnesota Timberwolves,Sacramento Kings,H
Oklahoma City Thunder,Chicago Bulls,H
San Antonio Spurs,Philadelphia 76ers,H
Golden State Warriors,Memphis Grizzlies,H
Portland Trail Blazers,Los Angeles Clippers,V
Cleveland Cavaliers,Indiana Pacers,V
Atlanta Hawks,Washington Wizards,H
Brooklyn Nets,Los Angeles Lakers,H
Denver Nuggets,Dallas Mavericks,H
Charlotte Hornets,Cleveland Cavaliers,H
San Antonio Spurs,Orlando Magic,V
Philadelphia 76ers,New York Knicks,H
Phoenix Suns,Boston Celtics,V
Toronto Raptors,Indiana Pacers,H
Brooklyn Nets,Chicago Bulls,V
Houston Rockets,Washington Wizards,H
Milwaukee Bucks,New Orleans Pelicans,H
Detroit Pistons,Minnesota Timberwolves,V
Utah Jazz,Golden State Warriors,H
Portland Trail Blazers,Memphis Grizzlies,H
Oklahoma City Thunder,Sacramento Kings,V
Miami Heat,Houston Rockets,H
Los Angeles Clippers,Dallas Mavericks,H
Charlotte Hornets,Detroit Pistons,H
Toronto Raptors,Cleveland Cavaliers,H
Indiana Pacers,Brooklyn Nets,V
Atlanta Hawks,New York Knicks,V
Milwaukee Bucks,Boston Celtics,V
Chicago Bulls,Orlando Magic,H
San Antonio Spurs,Minnesota Timberwolves,H
Utah Jazz,Portland Trail Blazers,V
Sacramento Kings,Memphis Grizzlies,H
Los Angeles Lakers,New Orleans Pelicans,H
Los Angeles Clippers,Denver Nuggets,H
Washington Wizards,Phoenix Suns,H
Philadelphia 76ers,Toronto Raptors,H
Houston Rockets,San Antonio Spurs,H
Miami Heat,Milwaukee Bucks,H
Golden State Warriors,Dallas Mavericks,H
Oklahoma City Thunder,Utah Jazz,V
Atlanta Hawks,Detroit Pistons,V
Indiana Pacers,Washington Wizards,H
Boston Celtics,Charlotte Hornets,H
Brooklyn Nets,Phoenix Suns,H
Chicago Bulls,Cleveland Cavaliers,V
Miami Heat,Orlando Magic,V
Sacramento Kings,New Orleans Pelicans,H
Minnesota Timberwolves,Oklahoma City Thunder,V
Golden State Warriors,Los Angeles Clippers,H
Portland Trail Blazers,Dallas Mavericks,H
Memphis Grizzlies,Los Angeles Lakers,V
Milwaukee Bucks,New York Knicks,V
Houston Rockets,Oklahoma City Thunder,H
Boston Celtics,Philadelphia 76ers,H
Los Angeles Lakers,Golden State Warriors,V
Utah Jazz,Portland Trail Blazers,H
Detroit Pistons,Washington Wizards,H
Phoenix Suns,Orlando Magic,V
Indiana Pacers,Atlanta Hawks,V
Brooklyn Nets,Charlotte Hornets,H
Toronto Raptors,Miami Heat,V
Minnesota Timberwolves,Chicago Bulls,V
Memphis Grizzlies,Cleveland Cavaliers,H
Dallas Mavericks,New Orleans Pelicans,H
San Antonio Spurs,Denver Nuggets,H
Los Angeles Clippers,Sacramento Kings,H
Houston Rockets,Boston Celtics,H
Milwaukee Bucks,New York Knicks,H
Sacramento Kings,Los Angeles Lakers,H
Portland Trail Blazers,Golden State Warriors,V
Philadelphia 76ers,Utah Jazz,V
Charlotte Hornets,Brooklyn Nets,H
Indiana Pacers,Detroit Pistons,H
Orlando Magic,Toronto Raptors,H
Chicago Bulls,Washington Wizards,V
Miami Heat,Cleveland Cavaliers,H
Atlanta Hawks,Minnesota Timberwolves,V
New Orleans Pelicans,Dallas Mavericks,H
Denver Nuggets,San Antonio Spurs,H
Oklahoma City Thunder,Phoenix Suns,V
Los Angeles Clippers,Los Angeles Lakers,V
Milwaukee Bucks,Brooklyn Nets,H
Houston Rockets,New Orleans Pelicans,V
Washington Wizards,Charlotte Hornets,H
